INDEX,NDVImax250,JJA_tavg25,JJA_ppt_av,JJA_mean_w,distance_w,dist_pastu,dem250,remoteness,soil250,veg250,slope250,Latitude,Longitude,PresBack
11896,8039.160156,9.3737898,44.7947998,4.4791198,790.5689697,0.0,20.0,0.0,1.0,2.0,0.0,65.89244081850325,-17.439647100722553,1
11556,6123.180176,9.46667,44.9216995,4.5049,500.0,901.3880005,20.0,0.0,1.0,10.0,0.0,65.89406976332624,-17.43573134568346,1
10378,6925.549805,8.7594995,48.3398018,4.33251,559.0170288,1500.0,18.4330006,0.0,3.0,5.0,6.01124,65.89377127349859,-22.34647812549213,1
11556,6123.180176,9.46667,44.9216995,4.5049,500.0,901.3880005,20.0,0.0,1.0,10.0,0.0,65.89407735975787,-17.447161142683207,1
69281,7377.990234,9.7666702,54.6127014,5.2761598,1274.75,559.0170288,31.0,0.0,7.0,9.0,5.5090699,64.58204160397712,-21.959571830530603,1
11790,6833.759766,9.1572504,41.2467003,4.48804,3881.040039,1250.0,44.0,0.0,3.0,9.0,1.95681,65.89428966708354,-20.306836520336475,1
11556,6123.180176,9.46667,44.9216995,4.5049,500.0,901.3880005,20.0,0.0,1.0,10.0,0.0,65.89544416422895,-17.44391962286764,1
11556,6123.180176,9.46667,44.9216995,4.5049,500.0,901.3880005,20.0,0.0,1.0,10.0,0.0,65.89550559546727,-17.44378428215949,1
11555,6327.410156,9.46667,44.6799011,4.5472698,1457.73999,1118.030029,20.0,0.0,1.0,5.0,0.0,65.89600437166186,-17.4496782238904,1
11555,6327.410156,9.46667,44.6799011,4.5472698,1457.73999,1118.030029,20.0,0.0,1.0,5.0,0.0,65.89878431922433,-17.447799871426483,1
11555,6327.410156,9.46667,44.6799011,4.5472698,1457.73999,1118.030029,20.0,0.0,1.0,5.0,0.0,65.89936182733581,-17.448138217470575,1
11451,7628.529785,9.2066603,41.3333015,4.4588399,2926.179932,901.3880005,46.0,0.0,3.0,8.0,1.19189,65.89979953026253,-20.30972628108213,1
11451,7628.529785,9.2066603,41.3333015,4.4588399,2926.179932,901.3880005,46.0,0.0,3.0,8.0,1.19189,65.89979953026253,-20.30972628108213,1
11451,7628.529785,9.2066603,41.3333015,4.4588399,2926.179932,901.3880005,46.0,0.0,3.0,8.0,1.19189,65.90004030801593,-20.30989208097345,1
11555,6327.410156,9.46667,44.6799011,4.5472698,1457.73999,1118.030029,20.0,0.0,1.0,5.0,0.0,65.90051156943194,-17.452765273359834,1
11451,7628.529785,9.2066603,41.3333015,4.4588399,2926.179932,901.3880005,46.0,0.0,3.0,8.0,1.19189,65.90095290552466,-20.314392769077685,1
11555,6327.410156,9.46667,44.6799011,4.5472698,1457.73999,1118.030029,20.0,0.0,1.0,5.0,0.0,65.90073635529951,-17.452817645840593,1
11451,7628.529785,9.2066603,41.3333015,4.4588399,2926.179932,901.3880005,46.0,0.0,3.0,8.0,1.19189,65.90228733701915,-20.31779616407202,1
11451,7628.529785,9.2066603,41.3333015,4.4588399,2926.179932,901.3880005,46.0,0.0,3.0,8.0,1.19189,65.90403342988519,-20.318148577771588,1
11214,7564.790039,9.4736099,44.7215004,4.55408,1250.0,1500.0,20.0,0.0,1.0,5.0,0.0,65.90418777471024,-17.455288536375303,1
11109,7842.379883,9.2254105,41.1632004,4.44172,2015.560059,500.0,50.152401,0.0,9.0,2.0,2.8864901,65.90575934454786,-20.318763374478102,1
11214,7564.790039,9.4736099,44.7215004,4.55408,1250.0,1500.0,20.0,0.0,1.0,5.0,0.0,65.90497604558563,-17.455175554982,1
11108,8681.719727,9.1666698,40.9499016,4.46667,2263.850098,0.0,18.0,0.0,9.0,3.0,1.19328,65.90848170649078,-20.328713767809532,1
11128,7024.109863,9.44028,40.2192993,4.7171602,1457.73999,2015.560059,78.1875,0.0,3.0,3.0,3.2555101,65.91137855259272,-19.88814037495827,1
11108,8681.719727,9.1666698,40.9499016,4.46667,2263.850098,0.0,18.0,0.0,9.0,3.0,1.19328,65.91049769472528,-20.331056502307515,1
11108,8681.719727,9.1666698,40.9499016,4.46667,2263.850098,0.0,18.0,0.0,9.0,3.0,1.19328,65.911288518374,-20.326706885150287,1
9697,7909.089844,8.4170103,50.3319016,4.3011498,790.5689697,2061.550049,62.6226006,0.0,3.0,5.0,4.8942099,65.91253041917751,-22.3323827800004,1
10874,7426.299805,9.5085802,44.6892014,4.6108398,707.1069946,1030.780029,20.0,0.0,1.0,5.0,0.0,65.91179368156392,-17.449806127943077,1
11128,7024.109863,9.44028,40.2192993,4.7171602,1457.73999,2015.560059,78.1875,0.0,3.0,3.0,3.2555101,65.91353476923057,-19.892165721450322,1
10874,7426.299805,9.5085802,44.6892014,4.6108398,707.1069946,1030.780029,20.0,0.0,1.0,5.0,0.0,65.91210877663177,-17.456197866221967,1
10874,7426.299805,9.5085802,44.6892014,4.6108398,707.1069946,1030.780029,20.0,0.0,1.0,5.0,0.0,65.91227124762177,-17.45001896001533,1
11128,7024.109863,9.44028,40.2192993,4.7171602,1457.73999,2015.560059,78.1875,0.0,3.0,3.0,3.2555101,65.9161949002355,-19.889667124556887,1
11128,7024.109863,9.44028,40.2192993,4.7171602,1457.73999,2015.560059,78.1875,0.0,3.0,3.0,3.2555101,65.91443537536219,-19.891516324716587,1
10874,7426.299805,9.5085802,44.6892014,4.6108398,707.1069946,1030.780029,20.0,0.0,1.0,5.0,0.0,65.91273620001871,-17.451659621486534,1
11128,7024.109863,9.44028,40.2192993,4.7171602,1457.73999,2015.560059,78.1875,0.0,3.0,3.0,3.2555101,65.91290607376274,-19.896973134436305,1
11128,7024.109863,9.44028,40.2192993,4.7171602,1457.73999,2015.560059,78.1875,0.0,3.0,3.0,3.2555101,65.91397389055015,-19.89687851126086,1
2534,7571.919922,8.7015104,53.9758987,4.1065302,250.0,353.553009,20.0,0.0,9.0,4.0,0.0,66.18039757907525,-15.47865031539809,1
10874,7426.299805,9.5085802,44.6892014,4.6108398,707.1069946,1030.780029,20.0,0.0,1.0,5.0,0.0,65.9135982761421,-17.455340376432027,1
11128,7024.109863,9.44028,40.2192993,4.7171602,1457.73999,2015.560059,78.1875,0.0,3.0,3.0,3.2555101,65.91447178237463,-19.90071543983225,1
11128,7024.109863,9.44028,40.2192993,4.7171602,1457.73999,2015.560059,78.1875,0.0,3.0,3.0,3.2555101,65.91469225540995,-19.902896391481917,1
11128,7024.109863,9.44028,40.2192993,4.7171602,1457.73999,2015.560059,78.1875,0.0,3.0,3.0,3.2555101,65.91679659499046,-19.895747127078362,1
10787,5795.910156,9.4927902,39.7108002,4.71732,1274.75,1118.030029,49.0,0.0,3.0,11.0,0.888809,65.9172907051238,-19.894051829657236,1
11128,7024.109863,9.44028,40.2192993,4.7171602,1457.73999,2015.560059,78.1875,0.0,3.0,3.0,3.2555101,65.91616648135582,-19.899237811132526,1
10427,7591.240234,9.0211096,41.4556007,4.49863,559.0170288,250.0,52.1447983,0.0,3.0,2.0,4.2466102,65.92691507010261,-20.355537744066282,1
10427,7591.240234,9.0211096,41.4556007,4.49863,559.0170288,250.0,52.1447983,0.0,3.0,2.0,4.2466102,65.92853290330693,-20.35208607199939,1
9045,7229.529785,8.4553699,49.3623009,4.32304,707.1069946,250.0,35.0,0.0,3.0,2.0,3.18433,65.92837473897107,-22.361282757892823,1
10427,7591.240234,9.0211096,41.4556007,4.49863,559.0170288,250.0,52.1447983,0.0,3.0,2.0,4.2466102,65.93132494176989,-20.353858066222042,1
10083,7367.910156,8.8981705,42.3699989,4.4769001,901.3880005,500.0,77.1447983,0.0,3.0,4.0,5.4351301,65.93187868704177,-20.35924769574573,1
10083,7367.910156,8.8981705,42.3699989,4.4769001,901.3880005,500.0,77.1447983,0.0,3.0,4.0,5.4351301,65.93362896797484,-20.356044228942366,1
10447,7933.390137,9.5602798,39.7304001,4.6602998,1274.75,250.0,27.0,0.0,3.0,3.0,2.7435801,65.93412832373707,-19.91493423431927,1
10083,7367.910156,8.8981705,42.3699989,4.4769001,901.3880005,500.0,77.1447983,0.0,3.0,4.0,5.4351301,65.93443089091475,-20.35870101173747,1
9745,6688.390137,8.9949598,42.4073982,4.4411802,0.0,1118.030029,89.0,0.0,3.0,4.0,2.79282,65.94276812391571,-20.368393275780406,1
9745,6688.390137,8.9949598,42.4073982,4.4411802,0.0,1118.030029,89.0,0.0,3.0,4.0,2.79282,65.94260661102422,-20.370428737802822,1
9764,7882.620117,9.5445404,39.6053009,4.6364002,1250.0,250.0,32.0,0.0,9.0,3.0,3.14168,65.94426002404056,-19.927469067556537,1
5688,8107.060059,8.5403099,49.7918015,4.1999998,790.5689697,1030.780029,25.8223,0.0,3.0,5.0,7.4303699,66.03234465194619,-22.39935582263374,1
9764,7882.620117,9.5445404,39.6053009,4.6364002,1250.0,250.0,32.0,0.0,9.0,3.0,3.14168,65.94573564868537,-19.925170406118028,1
7476,7496.839844,8.2859402,50.0301018,4.3110499,790.5689697,4257.350098,51.8381996,0.0,3.0,2.0,4.8461699,65.97280051975001,-22.380257467627274,1
9764,7882.620117,9.5445404,39.6053009,4.6364002,1250.0,250.0,32.0,0.0,9.0,3.0,3.14168,65.94900721337739,-19.928497058109365,1
9413,7226.27002,9.1214304,41.2916985,4.4917598,500.0,707.1069946,44.1411018,0.0,3.0,2.0,1.99502,65.95019099621157,-20.378966361082373,1
